"Country";"Type";"Year";"Number"
"THAILAND";"HT";2006;14800
"EGYPT";"HT";2006;5633
"AUSTRIA";"HT";2007;28097
"BELGIUM";"HT";2007;43516
"FINLAND";"HT";2007;303
"FRANCE";"HT";2007;67395
"GERMANY";"HT";2007;243642
"ITALY";"HT";2007;51114
"NETHERLANDS";"HT";2007;74649
"PORTUGAL";"HT";2007;5981
"SPAIN";"HT";2007;92793
"SWEDEN";"HT";2007;40364
"UNITED KINGDOM";"HT";2007;18436
"CZECH REPUBLIC";"HT";2007;3154
"HUNGARY";"HT";2007;3566
"ROMANIA";"HT";2007;155
"SERBIA";"HT";2007;420
"RUSSIA";"HT";2007;103932
"BELARUS";"HT";2007;25548
"UKRAINE";"HT";2007;4637
"TURKEY";"HT";2007;34544
"CANADA";"HT";2007;36088
"MEXICO";"HT";2007;89544
"USA";"HT";2007;279117
"ARGENTINA";"HT";2007;4912
"BRAZIL";"HT";2007;137052
"CHILE";"HT";2007;10804
"ECUADOR";"HT";2007;20102
"VENEZUELA";"HT";2007;10391
"AUSTRALIA";"HT";2007;6633
"CHINA";"HT";2007;878608
"INDIA";"HT";2007;288020
"INDONESIA";"HT";2007;50430
"JAPAN";"HT";2007;718901
"MALAYSIA";"HT";2007;13986
"SOUTH KOREA";"HT";2007;26397
"TAIWAN";"HT";2007;3132
"THAILAND";"HT";2007;15331
"VIETNAM";"HT";2007;936
"EGYPT";"HT";2007;6784
"AUSTRIA";"HT";2008;25441
"BELGIUM";"HT";2008;43081
"FINLAND";"HT";2008;376
"FRANCE";"HT";2008;69761
"GERMANY";"HT";2008;257396
"ITALY";"HT";2008;48232
"NETHERLANDS";"HT";2008;71326
"PORTUGAL";"HT";2008;6609
"SPAIN";"HT";2008;73883
"SWEDEN";"HT";2008;46858
"UNITED KINGDOM";"HT";2008;25565
"CZECH REPUBLIC";"HT";2008;2726
"HUNGARY";"HT";2008;3067
"POLAND";"HT";2008;13381
"ROMANIA";"HT";2008;277
"SERBIA";"HT";2008;350
"RUSSIA";"HT";2008;102393
"BELARUS";"HT";2008;26291
"UKRAINE";"HT";2008;9437
"TURKEY";"HT";2008;36800
"CANADA";"HT";2008;34970
"MEXICO";"HT";2008;83560
"USA";"HT";2008;225156
"ARGENTINA";"HT";2008;7183
"BRAZIL";"HT";2008;167330
"CHILE";"HT";2008;4405
"ECUADOR";"HT";2008;20381
"VENEZUELA";"HT";2008;9069
"AUSTRALIA";"HT";2008;5438
"CHINA";"HT";2008;1066110
"INDIA";"HT";2008;201182
"INDONESIA";"HT";2008;81548
"JAPAN";"HT";2008;734902
"MALAYSIA";"HT";2008;17326
"SOUTH KOREA";"HT";2008;27346
"TAIWAN";"HT";2008;3870
"THAILAND";"HT";2008;13018
"VIETNAM";"HT";2008;1334
"EGYPT";"HT";2008;7983
"AUSTRIA";"HT";2009;15714
"BELGIUM";"HT";2009;12039
"FINLAND";"HT";2009;64
"FRANCE";"HT";2009;25325
"GERMANY";"HT";2009;69920
"ITALY";"HT";2009;23046
"NETHERLANDS";"HT";2009;24490
"PORTUGAL";"HT";2009;2079
"SPAIN";"HT";2009;25707
"SWEDEN";"HT";2009;17859
"UNITED KINGDOM";"HT";2009;9003
"CZECH REPUBLIC";"HT";2009;1091
"HUNGARY";"HT";2009;1670
"POLAND";"HT";2009;5447
"ROMANIA";"HT";2009;188
"SERBIA";"HT";2009;300
"RUSSIA";"HT";2009;40326
"BELARUS";"HT";2009;11457
"UKRAINE";"HT";2009;464
"TURKEY";"HT";2009;8246
"CANADA";"HT";2009;11321
"MEXICO";"HT";2009;59135
"USA";"HT";2009;132283
"ARGENTINA";"HT";2009;12891
"BRAZIL";"HT";2009;123633
"CHILE";"HT";2009;3250
"ECUADOR";"HT";2009;8448
"VENEZUELA";"HT";2009;7319
"AUSTRALIA";"HT";2009;3929
"CHINA";"HT";2009;1704407
"INDIA";"HT";2009;154878
"INDONESIA";"HT";2009;55766
"IRAN";"HT";2009;29130
"JAPAN";"HT";2009;371686
"MALAYSIA";"HT";2009;3217
"PAKISTAN";"HT";2009;3069
"PHILIPPINES";"HT";2009;6861
"SOUTH KOREA";"HT";2009;22984
"TAIWAN";"HT";2009;3559
"THAILAND";"HT";2009;10930
"VIETNAM";"HT";2009;884
"EGYPT";"HT";2009;6406
"SOUTH AFRICA";"HT";2009;18206
"BELGIUM";"HT";2010;25338
"FINLAND";"HT";2010;280
"FRANCE";"HT";2010;39296
"GERMANY";"HT";2010;115954
"ITALY";"HT";2010;27948
"NETHERLANDS";"HT";2010;44764
"PORTUGAL";"HT";2010;4326
"SPAIN";"HT";2010;36891
"SWEDEN";"HT";2010;30000
"UNITED KINGDOM";"HT";2010;10116
"CZECH REPUBLIC";"HT";2010;1410
"HUNGARY";"HT";2010;2760
"POLAND";"HT";2010;5936
"ROMANIA";"HT";2010;55
"SERBIA";"HT";2010;97
"RUSSIA";"HT";2010;60071
"BELARUS";"HT";2010;13203
"UKRAINE";"HT";2010;1092
"TURKEY";"HT";2010;23851
"CANADA";"HT";2010;5630
"MEXICO";"HT";2010;91769
"USA";"HT";2010;145946
"ARGENTINA";"HT";2010;18585
"BRAZIL";"HT";2010;189941
"CHILE";"HT";2010;4700
"ECUADOR";"HT";2010;13387
"VENEZUELA";"HT";2010;5602
"AUSTRALIA";"HT";2010;4564
"CHINA";"HT";2010;2259161
"INDIA";"HT";2010;275662
"INDONESIA";"HT";2010;100230
"IRAN";"HT";2010;32929
"JAPAN";"HT";2010;520672
"MALAYSIA";"HT";2010;4384
"PAKISTAN";"HT";2010;3364
"PHILIPPINES";"HT";2010;9497
"SOUTH KOREA";"HT";2010;26558
"TAIWAN";"HT";2010;4766
"THAILAND";"HT";2010;16258
"VIETNAM";"HT";2010;1952
"EGYPT";"HT";2010;9120
"KENYA";"HT";2010;660
"SOUTH AFRICA";"HT";2010;21129
"AUSTRIA";"HT";2011;22162
"BELGIUM";"HT";2011;33246
"FINLAND";"HT";2011;91
"ITALY";"HT";2011;33577
"NETHERLANDS";"HT";2011;30944
"PORTUGAL";"HT";2011;4073
"SPAIN";"HT";2011;54550
"UNITED KINGDOM";"HT";2011;15348
"CZECH REPUBLIC";"HT";2011;1302
"HUNGARY";"HT";2011;2313
"POLAND";"HT";2011;1816
"ROMANIA";"HT";2011;65
"SERBIA";"HT";2011;109
"RUSSIA";"HT";2011;85153
"BELARUS";"HT";2011;21843
"UKRAINE";"HT";2011;1047
"TURKEY";"HT";2011;37396
"CANADA";"HT";2011;9881
"MEXICO";"HT";2011;137691
